,Created At,Text,Geo Coordinates.latitude,Geo Coordinates.longitude,User Location,Username,User Screen Name,Retweet Count,Classificacao,Observação,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
3600,Thu Jan 05 05:12:09 +0000 2017,RT @jjsouzas: MINAS É 1 ESTADO RICO. FOI ROUBADO. VERBAS SÓ TEM PRA BANCAR AS EXTRAVAGÂNCIAS D PIMENTEL. REAGE MINAS GERAIS. O POVO TEM QUE…,,,United States,Bem-Vindo D'ale,andre_gruber,14,Negativo,,,,,,,,,,,,,,,,
3601,Thu Jan 05 05:26:28 +0000 2017,RT @jjsouzas: MINAS É 1 ESTADO RICO. FOI ROUBADO. VERBAS SÓ TEM PRA BANCAR AS EXTRAVAGÂNCIAS D PIMENTEL. REAGE MINAS GERAIS. O POVO TEM QUE…,,,"Porto Barlavento, Angra",Jamal Nota 10,jamalnota10,14,Negativo,,,,,,,,,,,,,,,,
3602,Thu Jan 05 08:39:42 +0000 2017,RT @jjsouzas: MINAS É 1 ESTADO RICO. FOI ROUBADO. VERBAS SÓ TEM PRA BANCAR AS EXTRAVAGÂNCIAS D PIMENTEL. REAGE MINAS GERAIS. O POVO TEM QUE…,,,No coração das Minas Gerais ,Alemendes,alemendes0110,14,Negativo,,,,,,,,,,,,,,,,
3603,Thu Jan 05 08:59:38 +0000 2017,RT @jjsouzas: MINAS É 1 ESTADO RICO. FOI ROUBADO. VERBAS SÓ TEM PRA BANCAR AS EXTRAVAGÂNCIAS D PIMENTEL. REAGE MINAS GERAIS. O POVO TEM QUE…,,,,Evandro Sudério,IVYJUNEAU,14,Negativo,,,,,,,,,,,,,,,,
3604,Thu Jan 05 10:43:23 +0000 2017,RT @jjsouzas: MINAS É 1 ESTADO RICO. FOI ROUBADO. VERBAS SÓ TEM PRA BANCAR AS EXTRAVAGÂNCIAS D PIMENTEL. REAGE MINAS GERAIS. O POVO TEM QUE…,,,Sáo Paulo,Roberto Motociclista,jurirob,14,Negativo,,,,,,,,,,,,,,,,
3605,Thu Jan 05 18:10:55 +0000 2017,"RT @joaoleiteBH: Mesmo em 'calamidade financeira', governo de MG compra mais dois helicópteros https://t.co/WALxs8gTwT #radioitatiaia",,,"Cambuquira, Brasil",Claudia Diamante,diamantelilas,3,Negativo,,,,,,,,,,,,,,,,
3606,Thu Jan 05 18:23:37 +0000 2017,"RT @joaoleiteBH: Mesmo em 'calamidade financeira', governo de MG compra mais dois helicópteros https://t.co/WALxs8gTwT #radioitatiaia",,,"Minas Gerais, Brasil",karina,ka_gt,3,Negativo,,,,,,,,,,,,,,,,
3607,Thu Jan 05 19:21:22 +0000 2017,"RT @joaoleiteBH: Mesmo em 'calamidade financeira', governo de MG compra mais dois helicópteros https://t.co/WALxs8gTwT #radioitatiaia",,,Belo Horizonte,Lourdes Pimenntel,Lurdinhapimenta,3,Negativo,,,,,,,,,,,,,,,,
3632,Fri Jan 06 00:11:48 +0000 2017,"RT @jornalhojeemdia: Governo de Minas adquire helicópteros e outros equipamentos para a Defesa Civil, PM e Bombeiros https://t.co/Wgr318HoO…",,,BH,Juliana Fernandes,Julyana_bh,7,Negativo,,,,,,,,,,,,,,,,
3633,Thu Jan 05 17:40:23 +0000 2017,"RT @jornalhojeemdia: Governo de Minas adquire helicópteros e outros equipamentos para a Defesa Civil, PM e Bombeiros https://t.co/Wgr318HoO…",,,"Minas Gerais, Brasil",Helio #Beta,heliobetalab,7,Negativo,,,,,,,,,,,,,,,,
3634,Fri Jan 06 16:42:49 +0000 2017,RT @JornalOGlobo: Governador de Minas usa helicóptero do estado para buscar filho e recebe críticas. https://t.co/GucqAlsHxW https://t.co/V…,,,,Eduardo Sizo,eduardosizo,160,Negativo,,,,,,,,,,,,,,,,
3635,Wed Jan 04 21:02:38 +0000 2017,"RT @JoseAdeildo: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/H42tw8YqUI",,,Brasil,Ary ANTI PT,Ary_AntiPT,4,Negativo,,,,,,,,,,,,,,,,
3636,Wed Jan 04 21:06:01 +0000 2017,"RT @JoseAdeildo: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/H42tw8YqUI",,,No coração das Minas Gerais ,Alemendes,alemendes0110,4,Negativo,,,,,,,,,,,,,,,,
3637,Wed Jan 04 21:14:02 +0000 2017,"RT @JoseAdeildo: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/H42tw8YqUI",,,República de Curitiba,Marcelo Silva,marcelo101971,4,Negativo,,,,,,,,,,,,,,,,
3638,Wed Jan 04 21:22:50 +0000 2017,"RT @JoseAdeildo: Em calamidade financeira, governo de Minas Gerais compra mais dois helicópteros https://t.co/H42tw8YqUI",,,Belo Horizonte,Glauco,Glaucolcs,4,Negativo,,,,,,,,,,,,,,,,
3639,Wed Jan 04 22:14:16 +0000 2017,RT @JoseAdeildo: Governo de MG põe em sigilo dados sobre voos de Pimentel https://t.co/TIrrAFLpgh,,,Republica de Curitiba,Menino Maluquinho,AciteMesLizarb,1,Negativo,,,,,,,,,,,,,,,,
3640,Fri Jan 06 20:19:50 +0000 2017,RT @joseluisfreita2: Vereador chega algemado à Câmara de Caratinga para tomar posse do cargo - Politica - Estado de Minas https://t.co/qnkA…,,,,#LavaJatoEuApoio,aruthcao,12,Negativo,,,,,,,,,,,,,,,,
3641,Sat Jan 07 09:45:20 +0000 2017,RT @joseluisfreita2: Vereador chega algemado à Câmara de Caratinga para tomar posse do cargo - Politica - Estado de Minas https://t.co/qnkA…,,,Belo Horizonte - MG - BRASIL,Denis Silva,denisjsilva81,12,Negativo,,,,,,,,,,,,,,,,
3642,Wed Jan 04 22:03:43 +0000 2017,RT @joseluisfreita2: Vereador chega algemado à Câmara de Caratinga para tomar posse do cargo - Politica - Estado de Minas https://t.co/qnkA…,,,"Minas Gerais, Brasil",Otoni,OtoniMarcio,12,Negativo,,,,,,,,,,,,,,,,
3643,Fri Jan 06 22:45:10 +0000 2017,"RT @josetomazfilho: A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias  https://t.co/j4onTU26lV …",,,,Evandro Sudério,IVYJUNEAU,5,Negativo,,,,,,,,,,,,,,,,
3644,Fri Jan 06 22:48:06 +0000 2017,"RT @josetomazfilho: A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias  https://t.co/j4onTU26lV …",,,,Brasil Melhor,FalaCachoeira,5,Negativo,,,,,,,,,,,,,,,,
3645,Sat Jan 07 00:19:55 +0000 2017,"RT @josetomazfilho: A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias  https://t.co/j4onTU26lV …",,,"Curitiba, Brasil",#CorruptosNaCadeia,arnt_clarice,5,Negativo,,,,,,,,,,,,,,,,
3646,Sat Jan 07 06:39:09 +0000 2017,"RT @josetomazfilho: A balada de Pimentel - governador de MG atrasa salários, mas abusa de mordomias  https://t.co/j4onTU26lV …",,,,Roberto Gurgel,gurgel77,5,Negativo,,,,,,,,,,,,,,,,
3647,Thu Jan 05 02:45:40 +0000 2017,RT @josetomazfilho: BB avisa Justiça que governo de MG desgovernado pelo PT não tem recursos em conta judicial https://t.co/YZH7JZUJG3 …,,,,Jorge Donato,jorgedonato,5,Negativo,,,,,,,,,,,,,,,,
3648,Wed Jan 04 21:14:50 +0000 2017,RT @josetomazfilho: BB avisa Justiça que governo de MG desgovernado pelo PT não tem recursos em conta judicial https://t.co/YZH7JZUJG3 …,,, SC - Brasil,Dracarys,rosanaStaC,5,Negativo,,,,,,,,,,,,,,,,
3649,Wed Jan 04 21:15:16 +0000 2017,RT @josetomazfilho: BB avisa Justiça que governo de MG desgovernado pelo PT não tem recursos em conta judicial https://t.co/YZH7JZUJG3 …,,,,Tico e Teco,Petismofobia,5,Negativo,,,,,,,,,,,,,,,,
3650,Wed Jan 04 21:19:37 +0000 2017,RT @josetomazfilho: BB avisa Justiça que governo de MG desgovernado pelo PT não tem recursos em conta judicial https://t.co/YZH7JZUJG3 …,,,"Minas Gerais, Brasil",Rodrigo Andrade,r_andradbessa,5,Negativo,,,,,,,,,,,,,,,,
3651,Wed Jan 04 21:42:54 +0000 2017,RT @josetomazfilho: BB avisa Justiça que governo de MG desgovernado pelo PT não tem recursos em conta judicial https://t.co/YZH7JZUJG3 …,,,,Angela M Gonçalves,AngelaMGonalve1,5,Negativo,,,,,,,,,,,,,,,,
3657,Wed Jan 04 19:49:53 +0000 2017,RT @julianacipriani: Ministério Público de MG restringe entrevistas de promotores à imprensa - Politica - Estado de Minas https://t.co/hXGm…,,,"Belo Horizonte, MG",Enzo,enzomenezes,1,Negativo,,,,,,,,,,,,,,,,
3663,Thu Jan 05 00:57:39 +0000 2017,"RT @JuMagalhaesBH: Vooooaaaaa Minas! Voa nos helicópteros do Pimentel.

https://t.co/8CvDeYkMYk",,,,vilmar carneiro,vc_naval,8,Negativo,,,,,,,,,,,,,,,,
3664,Wed Jan 04 20:20:07 +0000 2017,"RT @JuMagalhaesBH: Vooooaaaaa Minas! Voa nos helicópteros do Pimentel.

https://t.co/8CvDeYkMYk",,,,Liliane Andre,andre_liliane,8,Negativo,,,,,,,,,,,,,,,,
3665,Wed Jan 04 20:31:41 +0000 2017,"RT @JuMagalhaesBH: Vooooaaaaa Minas! Voa nos helicópteros do Pimentel.

https://t.co/8CvDeYkMYk",,,No coração das Minas Gerais ,Alemendes,alemendes0110,8,Negativo,,,,,,,,,,,,,,,,
3666,Wed Jan 04 20:57:33 +0000 2017,"RT @JuMagalhaesBH: Vooooaaaaa Minas! Voa nos helicópteros do Pimentel.

https://t.co/8CvDeYkMYk",,,Brasil,Ary ANTI PT,Ary_AntiPT,8,Negativo,,,,,,,,,,,,,,,,
3667,Wed Jan 04 21:27:51 +0000 2017,"RT @JuMagalhaesBH: Vooooaaaaa Minas! Voa nos helicópteros do Pimentel.

https://t.co/8CvDeYkMYk",,,República de Curitiba,Marcelo Silva,marcelo101971,8,Negativo,,,,,,,,,,,,,,,,
3668,Wed Jan 04 22:55:05 +0000 2017,"RT @JuMagalhaesBH: Vooooaaaaa Minas! Voa nos helicópteros do Pimentel.

https://t.co/8CvDeYkMYk",,,,Francisco Neto,Nettoss,8,Negativo,,,,,,,,,,,,,,,,
3669,Wed Jan 04 23:09:48 +0000 2017,"RT @JuMagalhaesBH: Vooooaaaaa Minas! Voa nos helicópteros do Pimentel.

https://t.co/8CvDeYkMYk",,,São Paulo,psiu13,Pssiu13,8,Negativo,,,,,,,,,,,,,,,,
3674,Sat Jan 07 12:02:55 +0000 2017,"RT @Larry1906: Esse Secretário de Temer, o imbecil Bruno Júlio (PMDB-MG),  é a cara do governo Golpista.",,,,marcelotricolor,realm_marcelo10,2,Negativo,,,,,,,,,,,,,,,,
3675,Sat Jan 07 12:36:42 +0000 2017,"RT @Larry1906: Esse Secretário de Temer, o imbecil Bruno Júlio (PMDB-MG),  é a cara do governo Golpista.",,,"Fortaleza, Brasil",Robson Alberto,rockbychoice,2,Negativo,,,,,,,,,,,,,,,,
3676,Fri Jan 06 13:59:03 +0000 2017,"RT @leandroruschel: Sobre o governador de Minas, só há uma pergunta a fazer: por que o meliante ainda não está preso???",,,SÃO PAULO - SP - BRASIL,ClaudiaBorinDelValle,ClaudiaBorin,14,Negativo,,,,,,,,,,,,,,,,
3679,Thu Jan 05 19:19:27 +0000 2017,RT @LeiSecaRJ: RT @MidiaInformal: Governador de Minas usa helicóptero do Estado p/buscar filho em festa https://t.co/sZeMTfO9Ea https://t.c…,,,,Robson,RobsonGRamos,10,Negativo,,,,,,,,,,,,,,,,
3682,Thu Jan 05 05:41:01 +0000 2017,"RT @LeobLinhares: Banco do Brasil cobra de Minas R$ 1,5 bilhão em depósitos judiciais / Eles quebram e acabam com tudo! https://t.co/GHlbLi…",,,,Carlosbarbosa Almeid,CarlosbarbosaA3,1,Negativo,,,,,,,,,,,,,,,,
3683,Sat Jan 07 00:41:49 +0000 2017,RT @LeonardoGSaade: Governo de MG compra mais 2 helicópteros https://t.co/AWuUkw8pSl Pimentel garantindo a carona do filhote depois das cac…,,,,gringabrasileira,gringa_bras,1,Negativo,,,,,,,,,,,,,,,,
3685,Thu Jan 05 01:42:21 +0000 2017,RT @lexluthor2015: BB avisa Justiça que governo de MG desgovernado pelo PT não tem recursos em conta judicial https://t.co/eq6eHilDxi,,,"Cambuquira, Brasil",Claudia Diamante,diamantelilas,2,Negativo,,,,,,,,,,,,,,,,
3686,Thu Jan 05 01:42:42 +0000 2017,RT @lexluthor2015: BB avisa Justiça que governo de MG desgovernado pelo PT não tem recursos em conta judicial https://t.co/eq6eHilDxi,,,São Paulo/Brasil,Español.'.,IvsonMartins,2,Negativo,,,,,,,,,,,,,,,,
3687,Thu Jan 05 00:51:57 +0000 2017,RT @lexluthor2015: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/QPcbGAPG91,,,Belém - PA,MRS,rodrigo_mrs,2,Negativo,,,,,,,,,,,,,,,,
3688,Wed Jan 04 21:44:57 +0000 2017,RT @lexluthor2015: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/QPcbGAPG91,,,São Paulo,Maria Fatima Da Mota,mfatimamota,2,Negativo,,,,,,,,,,,,,,,,
3689,Wed Jan 04 19:04:02 +0000 2017,"RT @lexluthor2015: Mesmo em 'calamidade financeira', governo de MG compra mais dois helicópteros https://t.co/17GUTxYqZf",,,Belém - PA,MRS,rodrigo_mrs,1,Negativo,,,,,,,,,,,,,,,,
3691,Mon Jan 09 23:14:06 +0000 2017,"RT @Lorenacs1: Ônibus 4,80 e o estágio me paga 2,50 de passagem. Cade coerência governo de Minas?? Bora ajudar a classe dos estagiários pro…",,,Brasil,Luíza,LuiizaAlves,1,Negativo,,,,,,,,,,,,,,,,
3717,Wed Jan 04 20:33:10 +0000 2017,RT @MahggaSantana: E O SENHOR GOVERNADOR DE MG. COMO TEM CORAGEM DE OLHAR P SEU FILHO SENDO DESLEAL DESSA MANEIRA. E O @STF_oficial,,,São Paulo,Margarida Santana,MahggaSantana,3,Negativo,,,,,,,,,,,,,,,,
3718,Wed Jan 04 20:34:24 +0000 2017,RT @MahggaSantana: E O SENHOR GOVERNADOR DE MG. COMO TEM CORAGEM DE OLHAR P SEU FILHO SENDO DESLEAL DESSA MANEIRA. E O @STF_oficial,,,,Maria A. Pádua,maria_padu,3,Negativo,,,,,,,,,,,,,,,,
3719,Wed Jan 04 20:35:32 +0000 2017,RT @MahggaSantana: E O SENHOR GOVERNADOR DE MG. COMO TEM CORAGEM DE OLHAR P SEU FILHO SENDO DESLEAL DESSA MANEIRA. E O @STF_oficial,,,,LUCIANO DAVID,LUCIANO_DAVID,3,Negativo,,,,,,,,,,,,,,,,
3721,Wed Jan 04 21:29:44 +0000 2017,RT @MandrakeLee: BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/HPJkC1N2yA,,,Ilhabela SP,Gilmar Costa,gilmarcosta55,1,Negativo,,,,,,,,,,,,,,,,
3724,Thu Jan 05 03:34:44 +0000 2017,"RT @MarcJMor: Alguma dúvida de que esse governo tem que ser afastado 
B Brasil cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://…",,,Itapema-SC,Deonisio Rocha,rocha_deonisio,2,Negativo,,,,,,,,,,,,,,,,
3725,Thu Jan 05 21:45:19 +0000 2017,"RT @MarcJMor: Alguma dúvida de que esse governo tem que ser afastado 
B Brasil cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://…",,,,gringabrasileira,gringa_bras,2,Negativo,,,,,,,,,,,,,,,,
3726,Wed Jan 04 22:02:57 +0000 2017,"RT @MARCUSPITTER: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/OienKaPs4P by #FPetralha via @c0nvey",,,Brasil - São Paulo,Déborah França,dlivia,4,Negativo,,,,,,,,,,,,,,,,
3727,Wed Jan 04 23:46:33 +0000 2017,"RT @MARCUSPITTER: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/OienKaPs4P by #FPetralha via @c0nvey",,,"Minas Gerais, Brazil",e.antunessales,ednar_salles,4,Negativo,,,,,,,,,,,,,,,,
3728,Thu Jan 05 00:03:12 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,Agua Fria São Paulo Brasil ,Odete Campos,CamposOdete,11,Negativo,,,,,,,,,,,,,,,,
3729,Thu Jan 05 06:54:43 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,Sabará/MG,Thiago Luis Ferreira,Flamengoesamba,11,Negativo,,,,,,,,,,,,,,,,
3730,Wed Jan 04 18:12:57 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,,vanea simi,vaneasimivrsa,11,Negativo,,,,,,,,,,,,,,,,
3731,Wed Jan 04 19:29:03 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,Brasil,João Roberto Moraes,jrtmoraes,11,Negativo,,,,,,,,,,,,,,,,
3732,Wed Jan 04 20:02:55 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,,Myst_Mi,Myst_Mi,11,Negativo,,,,,,,,,,,,,,,,
3733,Wed Jan 04 20:17:23 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,,Antonio Vasconcelos,AcvasconcelosC,11,Negativo,,,,,,,,,,,,,,,,
3734,Wed Jan 04 21:02:21 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,Brasil,Ary ANTI PT,Ary_AntiPT,11,Negativo,,,,,,,,,,,,,,,,
3735,Wed Jan 04 21:04:24 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,"Coronel Fabriciano, Brasil",cida viana,vianadepinho,11,Negativo,,,,,,,,,,,,,,,,
3736,Wed Jan 04 21:06:17 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,No coração das Minas Gerais ,Alemendes,alemendes0110,11,Negativo,,,,,,,,,,,,,,,,
3737,Wed Jan 04 21:07:49 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,,Renato Bessias,renatogomesoliv,11,Negativo,,,,,,,,,,,,,,,,
3738,Wed Jan 04 21:33:06 +0000 2017,RT @maria_lima: Um é pouco. Dinheiro sobrando : Governo de Minas Gerais compra mais dois helicópteros -  https://t.co/zJNM1T4Aez,,,"Vitória, Espírito Santo",Luiz Gonzaga M Cassa,LuizGMCassa,11,Negativo,,,,,,,,,,,,,,,,
3739,Mon Jan 09 17:50:23 +0000 2017,RT @mariaclara_b: Parem de fingir que tem estado melhor que Minas Gerais no Brasil.,,,"Belo Horizonte, Brasil",cle cle,cleyygomes,1,Negativo,,,,,,,,,,,,,,,,
3740,Fri Jan 06 19:24:11 +0000 2017,RT @mariamcastanha: Quem herdou a maldição foi Minas Gerais. O estado está mais que falido.@RafaelFontana #NãoConfiamosNoSTF https://t.co/O…,,,"Blumenau, Brasil",Célia Renita Pfau,CeliaPfau,160,Negativo,,,,,,,,,,,,,,,,
3741,Sun Jan 08 20:35:41 +0000 2017,RT @mariamcastanha: Quem herdou a maldição foi Minas Gerais. O estado está mais que falido.@RafaelFontana #NãoConfiamosNoSTF https://t.co/O…,,,Brasil,CONSERVADOR,EdGaarcia,160,Negativo,,,,,,,,,,,,,,,,
3742,Sun Jan 08 20:55:41 +0000 2017,RT @mariamcastanha: Quem herdou a maldição foi Minas Gerais. O estado está mais que falido.@RafaelFontana #NãoConfiamosNoSTF https://t.co/O…,,,Curitiba - PR,Tetê Vitória,edite_,160,Negativo,,,,,,,,,,,,,,,,
3743,Sun Jan 08 21:10:36 +0000 2017,RT @mariamcastanha: Quem herdou a maldição foi Minas Gerais. O estado está mais que falido.@RafaelFontana #NãoConfiamosNoSTF https://t.co/O…,,,"Cabo Frio, Rio de Janeiro",victor marques da co,victortamoios,160,Negativo,,,,,,,,,,,,,,,,
3744,Sun Jan 08 21:10:39 +0000 2017,RT @mariamcastanha: Quem herdou a maldição foi Minas Gerais. O estado está mais que falido.@RafaelFontana #NãoConfiamosNoSTF https://t.co/O…,,,"Nova Friburgo, Brasil",José Banchi,JoseBanchi1,160,Negativo,,,,,,,,,,,,,,,,
3745,Wed Jan 04 18:38:06 +0000 2017,RT @mariamcastanha: Quem herdou a maldição foi Minas Gerais. O estado está mais que falido.@RafaelFontana #NãoConfiamosNoSTF https://t.co/O…,,,"São Paulo, Brasil",iara Oliveira ®Moro,iara_oliva,160,Negativo,,,,,,,,,,,,,,,,
3746,Wed Jan 04 22:42:10 +0000 2017,RT @mariamcastanha: Quem herdou a maldição foi Minas Gerais. O estado está mais que falido.@RafaelFontana #NãoConfiamosNoSTF https://t.co/O…,,,"Florianópolis, Brasil",Ingrid,ingridpianta8,160,Negativo,,,,,,,,,,,,,,,,
3748,Thu Jan 05 10:12:09 +0000 2017,"RT @mariosilva969: O Governo de minas comprou mais 2 aeronaves, e olha q Minas está falida. Na verdade falida p mim e p você, mas não p ele…",,,Do ponto A ao sabe lá onde...,Efontan,efontan,4,Negativo,,,,,,,,,,,,,,,,
3749,Wed Jan 04 23:28:23 +0000 2017,"RT @mariosilva969: O Governo de minas comprou mais 2 aeronaves, e olha q Minas está falida. Na verdade falida p mim e p você, mas não p ele…",,,Belo Horizonte-MG,Eduardo V.Chiappetti,EVChiappetti,4,Negativo,,,,,,,,,,,,,,,,
3750,Wed Jan 04 23:30:01 +0000 2017,"RT @mariosilva969: O Governo de minas comprou mais 2 aeronaves, e olha q Minas está falida. Na verdade falida p mim e p você, mas não p ele…",,,BH [▲] Brasil,Alex Johannes,AbreUmaLatinha,4,Negativo,,,,,,,,,,,,,,,,
3751,Wed Jan 04 23:36:30 +0000 2017,"RT @mariosilva969: O Governo de minas comprou mais 2 aeronaves, e olha q Minas está falida. Na verdade falida p mim e p você, mas não p ele…",,,Belo Horizonte,Galo Zuero,GaloZuero,4,Negativo,,,,,,,,,,,,,,,,
3756,Wed Jan 04 19:17:07 +0000 2017,"RT @marizalobato: O filhinho anda passando mal demais, um helicóptero só não tá dando conta do recado...... FDP!!!� https://t.co/SSjKaof8UK",,,RIBEIRÃO DAS NEVES,TETRA-RAFAEL GOMES,FAEL_ZOI,1,Negativo,,,,,,,,,,,,,,,,
3757,Wed Jan 04 20:34:58 +0000 2017,"RT @MarKramer: Assim são os gov PT O povo? Rale-se
Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/74REkWU6Vf…",,,,Brasil Melhor,FalaCachoeira,1,Negativo,,,,,,,,,,,,,,,,
3768,Thu Jan 05 13:34:33 +0000 2017,"RT @MatosValtecio: Governo de Minas Gerais gasta R$ 50,8 milhões com helicópteros via @UOLNoticias @UOL  https://t.co/37i4iqWlPh onda olha…",,,"Goiânia, Goiás",ivonizio jesus andra,ivonizio,1,Negativo,,,,,,,,,,,,,,,,
3769,Mon Jan 09 00:02:45 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,"Campinas, São Paulo",Valtecio Matos,MatosValtecio,10,Negativo,,,,,,,,,,,,,,,,
3770,Mon Jan 09 00:03:40 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,"Guarulhos, SP,  Brazil",LLAP II,DelsonbpvGore,10,Negativo,,,,,,,,,,,,,,,,
3771,Sun Jan 08 17:01:47 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,rio de janeiro,jose carlosfrancelli,francelli17,10,Negativo,,,,,,,,,,,,,,,,
3772,Thu Jan 05 09:02:17 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,,Pastor Nivaldo,PastorNivaldo75,10,Negativo,,,,,,,,,,,,,,,,
3773,Thu Jan 05 11:50:21 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,Brasília,#LavaJatoEuApoio,ElizaLacaille,10,Negativo,,,,,,,,,,,,,,,,
3774,Thu Jan 05 11:50:42 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,"Cambuquira, Brasil",Claudia Diamante,diamantelilas,10,Negativo,,,,,,,,,,,,,,,,
3775,Thu Jan 05 13:06:51 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,"Rio Grande do Sul, Brasil",Vitor Fleck,vifleck_1,10,Negativo,,,,,,,,,,,,,,,,
3776,Thu Jan 05 13:21:24 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,Brasil,ANDRE S. SILVA,assilva45,10,Negativo,,,,,,,,,,,,,,,,
3777,Thu Jan 05 13:29:34 +0000 2017,"RT @MatosValtecio: Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros via @UOLNoticias @UOL  https://t.co/qYsjegqK…",,,,W.,WalterAndrade16,10,Negativo,,,,,,,,,,,,,,,,
3778,Sat Jan 07 23:27:50 +0000 2017,"RT @maurici83153417: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/nqS7HmCllW by #jeversona4 via @c0nvey",,,,Nizetti Soares,nizetticardoso,2,Negativo,,,,,,,,,,,,,,,,
3779,Sat Jan 07 23:32:04 +0000 2017,"RT @maurici83153417: Em calamidade financeira, governo de MG compra dois helicópteros https://t.co/nqS7HmCllW by #jeversona4 via @c0nvey",,,Belo Horizonte,Maior de Minas,marceloAguiar00,2,Negativo,,,,,,,,,,,,,,,,
3780,Fri Jan 06 01:31:59 +0000 2017,RT @MauroPatini: Estado de Minas Gerais quebrado e ainda se apropriando dos recursos judiciais que pertencem às partes dos processos. Fim d…,,,,Marcio Cesar,mcesarmuniz,9,Negativo,,,,,,,,,,,,,,,,
3781,Thu Jan 05 01:22:42 +0000 2017,RT @MauroPatini: Estado de Minas Gerais quebrado e ainda se apropriando dos recursos judiciais que pertencem às partes dos processos. Fim d…,,,Minas Gerais,Monique Campolina,Campolina_13,9,Negativo,,,,,,,,,,,,,,,,
3782,Thu Jan 05 14:16:26 +0000 2017,RT @MauroPatini: Estado de Minas Gerais quebrado e ainda se apropriando dos recursos judiciais que pertencem às partes dos processos. Fim d…,,,,m. lima,Marlene_MLima,9,Negativo,,,,,,,,,,,,,,,,
